record,polled_utc,line,destination,arrival_utc,minutes_away
56,2025-05-07T16:23:51+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:37:30+00:00,13
57,2025-05-07T16:23:51+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:47:30+00:00,23
58,2025-05-07T16:24:54+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:29:56+00:00,5
59,2025-05-07T16:24:54+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:37:30+00:00,12
60,2025-05-07T16:24:54+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:47:30+00:00,22
61,2025-05-07T16:25:56+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:28:23+00:00,2
62,2025-05-07T16:25:56+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:37:30+00:00,11
63,2025-05-07T16:25:56+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:47:30+00:00,21
64,2025-05-07T16:26:58+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:28:28+00:00,1
65,2025-05-07T16:26:58+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:37:30+00:00,10
66,2025-05-07T16:26:58+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:47:30+00:00,20
67,2025-05-07T16:28:00+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:28:37+00:00,0
68,2025-05-07T16:28:00+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:37:30+00:00,9
69,2025-05-07T16:28:00+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:47:30+00:00,19
70,2025-05-07T16:29:02+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:37:30+00:00,8
71,2025-05-07T16:29:02+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:47:30+00:00,18
72,2025-05-07T16:29:02+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:57:30+00:00,28
73,2025-05-07T16:30:04+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:37:30+00:00,7
74,2025-05-07T16:30:04+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:47:30+00:00,17
75,2025-05-07T16:30:04+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:57:30+00:00,27
76,2025-05-07T16:31:07+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:37:30+00:00,6
77,2025-05-07T16:31:07+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:47:30+00:00,16
78,2025-05-07T16:31:07+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:57:30+00:00,26
79,2025-05-07T16:32:09+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:37:47+00:00,5
80,2025-05-07T16:32:09+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:47:30+00:00,15
81,2025-05-07T16:32:09+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:57:30+00:00,25
82,2025-05-07T16:33:11+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:38:29+00:00,5
83,2025-05-07T16:33:11+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:47:30+00:00,14
84,2025-05-07T16:33:11+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:57:30+00:00,24
85,2025-05-07T16:34:13+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:38:13+00:00,3
86,2025-05-07T16:34:13+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:47:30+00:00,13
87,2025-05-07T16:34:13+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:57:30+00:00,23
88,2025-05-07T16:35:15+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:38:23+00:00,3
89,2025-05-07T16:35:15+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:47:30+00:00,12
90,2025-05-07T16:35:15+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:57:30+00:00,22
91,2025-05-07T16:36:17+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:38:04+00:00,1
92,2025-05-07T16:36:17+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:47:30+00:00,11
93,2025-05-07T16:36:17+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:57:30+00:00,21
94,2025-05-07T16:37:19+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:38:21+00:00,1
95,2025-05-07T16:37:19+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:47:30+00:00,10
96,2025-05-07T16:37:19+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:57:30+00:00,20
97,2025-05-07T16:38:21+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:47:30+00:00,9
98,2025-05-07T16:38:21+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:57:30+00:00,19
99,2025-05-07T16:38:21+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:07:30+00:00,29
100,2025-05-07T16:39:23+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:47:30+00:00,8
101,2025-05-07T16:39:23+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:57:30+00:00,18
102,2025-05-07T16:39:23+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:07:30+00:00,28
103,2025-05-07T16:40:25+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:47:30+00:00,7
104,2025-05-07T16:40:25+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:57:30+00:00,17
105,2025-05-07T16:40:25+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:07:30+00:00,27
106,2025-05-07T16:41:27+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:47:30+00:00,6
107,2025-05-07T16:41:27+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:57:30+00:00,16
108,2025-05-07T16:41:27+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:07:30+00:00,26
109,2025-05-07T16:42:30+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:47:40+00:00,5
110,2025-05-07T16:42:30+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:57:30+00:00,14
111,2025-05-07T16:42:30+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:07:30+00:00,24
112,2025-05-07T16:43:32+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:47:46+00:00,4
113,2025-05-07T16:43:32+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:57:30+00:00,13
114,2025-05-07T16:43:32+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:07:30+00:00,23
115,2025-05-07T16:44:34+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:48:04+00:00,3
116,2025-05-07T16:44:34+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:57:30+00:00,12
117,2025-05-07T16:44:34+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:07:30+00:00,22
118,2025-05-07T16:45:36+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:47:42+00:00,2
119,2025-05-07T16:45:36+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:57:30+00:00,11
120,2025-05-07T16:45:36+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:07:30+00:00,21
121,2025-05-07T16:46:38+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:48:12+00:00,1
122,2025-05-07T16:46:38+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T16:57:30+00:00,10
123,2025-05-07T16:46:38+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:07:30+00:00,20
